Dates,Nikkei 225 Index (^N225) - Index Value
Mar-27-2013,12493.79
Mar-28-2013,12335.96
Mar-29-2013,12397.91
Apr-01-2013,12135.02
Apr-02-2013,12003.43
Apr-03-2013,12362.20
Apr-04-2013,12634.54
Apr-05-2013,12833.64
Apr-08-2013,13192.59
Apr-09-2013,13192.35
Apr-10-2013,13288.13
Apr-11-2013,13549.16
Apr-12-2013,13485.14
Apr-15-2013,13275.66
Apr-16-2013,13221.44
Apr-17-2013,13382.89
Apr-18-2013,13220.07
Apr-19-2013,13316.48
Apr-22-2013,13568.37
Apr-23-2013,13529.65
Apr-24-2013,13843.46
Apr-25-2013,13926.08
Apr-26-2013,13884.13
Apr-30-2013,13860.86
May-01-2013,13799.35
May-02-2013,13694.04
May-07-2013,14180.24
May-08-2013,14285.69
May-09-2013,14191.48
May-10-2013,14607.54
May-13-2013,14782.21
May-14-2013,14758.42
May-15-2013,15096.03
May-16-2013,15037.24
May-17-2013,15138.12
May-20-2013,15360.81
May-21-2013,15381.02
May-22-2013,15627.26
May-23-2013,14483.98
May-24-2013,14612.45
May-27-2013,14142.65
May-28-2013,14311.98
May-29-2013,14326.46
May-30-2013,13589.03
May-31-2013,13774.54
Jun-03-2013,13261.82
Jun-04-2013,13533.76
Jun-05-2013,13014.87
Jun-06-2013,12904.02
Jun-07-2013,12877.53
Jun-10-2013,13514.20
Jun-11-2013,13317.62
Jun-12-2013,13289.32
Jun-13-2013,12445.38
Jun-14-2013,12686.52
Jun-17-2013,13033.12
Jun-18-2013,13007.28
Jun-19-2013,13245.22
Jun-20-2013,13014.58
Jun-21-2013,13230.13
Jun-24-2013,13062.78
Jun-25-2013,12969.34
Jun-26-2013,12834.01
Jun-27-2013,13213.55
Jun-28-2013,13677.32
Jul-01-2013,13852.50
Jul-02-2013,14098.74
Jul-03-2013,14055.56
Jul-04-2013,14018.93
Jul-05-2013,14309.97
Jul-08-2013,14109.34
Jul-09-2013,14472.90
Jul-10-2013,14416.60
Jul-11-2013,14472.58
Jul-12-2013,14506.25
Jul-16-2013,14599.12
Jul-17-2013,14615.04
Jul-18-2013,14808.50
Jul-19-2013,14589.91
Jul-22-2013,14658.04
Jul-23-2013,14778.51
Jul-24-2013,14731.28
Jul-25-2013,14562.93
Jul-26-2013,14129.98
Jul-29-2013,13661.13
Jul-30-2013,13869.82
Jul-31-2013,13668.32
Aug-01-2013,14005.77
Aug-02-2013,14466.16
Aug-05-2013,14258.04
Aug-06-2013,14401.06
Aug-07-2013,13824.94
Aug-08-2013,13605.56
Aug-09-2013,13615.19
Aug-12-2013,13519.43
Aug-13-2013,13867.00
Aug-14-2013,14050.16
Aug-15-2013,13752.94
Aug-16-2013,13650.11
Aug-19-2013,13758.13
Aug-20-2013,13396.38
Aug-21-2013,13424.33
Aug-22-2013,13365.17
Aug-23-2013,13660.55
Aug-26-2013,13636.28
Aug-27-2013,13542.37
Aug-28-2013,13338.46
Aug-29-2013,13459.71
Aug-30-2013,13388.86
Sep-02-2013,13572.92
Sep-03-2013,13978.44
Sep-04-2013,14053.87
Sep-05-2013,14064.82
Sep-06-2013,13860.81
Sep-09-2013,14205.23
Sep-10-2013,14423.36
Sep-11-2013,14425.07
Sep-12-2013,14387.27
Sep-13-2013,14404.67
Sep-17-2013,14311.67
Sep-18-2013,14505.36
Sep-19-2013,14766.18
Sep-20-2013,14742.42
Sep-24-2013,14732.61
Sep-25-2013,14620.53
Sep-26-2013,14799.12
Sep-27-2013,14760.07
Sep-30-2013,14455.80
Oct-01-2013,14484.72
Oct-02-2013,14170.49
Oct-03-2013,14157.25
Oct-04-2013,14024.31
Oct-07-2013,13853.32
Oct-08-2013,13894.61
Oct-09-2013,14037.84
Oct-10-2013,14194.71
Oct-11-2013,14404.74
Oct-15-2013,14441.54
Oct-16-2013,14467.14
Oct-17-2013,14586.51
Oct-18-2013,14561.54
Oct-21-2013,14693.57
Oct-22-2013,14713.25
Oct-23-2013,14426.05
Oct-24-2013,14486.41
Oct-25-2013,14088.19
Oct-28-2013,14396.04
Oct-29-2013,14325.98
Oct-30-2013,14502.35
Oct-31-2013,14327.94
Nov-01-2013,14201.57
Nov-05-2013,14225.37
Nov-06-2013,14337.31
Nov-07-2013,14228.44
Nov-08-2013,14086.80
Nov-11-2013,14269.84
Nov-12-2013,14588.68
Nov-13-2013,14567.16
Nov-14-2013,14876.41
Nov-15-2013,15165.92
Nov-18-2013,15164.30
Nov-19-2013,15126.56
Nov-20-2013,15076.08
Nov-21-2013,15365.60
Nov-22-2013,15381.72
Nov-25-2013,15619.13
Nov-26-2013,15515.24
Nov-27-2013,15449.63
Nov-28-2013,15727.12
Nov-29-2013,15661.87
Dec-02-2013,15655.07
Dec-03-2013,15749.66
Dec-04-2013,15407.94
Dec-05-2013,15177.49
Dec-06-2013,15299.86
Dec-09-2013,15650.21
Dec-10-2013,15611.31
Dec-11-2013,15515.06
Dec-12-2013,15341.82
Dec-13-2013,15403.11
Dec-16-2013,15152.91
Dec-17-2013,15278.63
Dec-18-2013,15587.80
Dec-19-2013,15859.22
Dec-20-2013,15870.42
Dec-24-2013,15889.33
Dec-25-2013,16009.99
Dec-26-2013,16174.44
Dec-27-2013,16178.94
Dec-30-2013,16291.31
Jan-06-2014,15908.88
Jan-07-2014,15814.37
Jan-08-2014,16121.45
Jan-09-2014,15880.33
Jan-10-2014,15912.06
Jan-14-2014,15422.40
Jan-15-2014,15808.73
Jan-16-2014,15747.20
Jan-17-2014,15734.46
Jan-20-2014,15641.68
Jan-21-2014,15795.96
Jan-22-2014,15820.96
Jan-23-2014,15695.89
Jan-24-2014,15391.56
Jan-27-2014,15005.73
Jan-28-2014,14980.16
Jan-29-2014,15383.91
Jan-30-2014,15007.06
Jan-31-2014,14914.53
