Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2018-10-15,6292.640137,6258.680176,6965.05957,6596.541016,6596.541016,0,BTCUSD=X
2018-10-16,6601.40918,6571.368652,6673.589355,6596.110352,6596.110352,0,BTCUSD=X
2018-10-17,6590.52002,6517.45166,6601.208984,6544.429688,6544.429688,0,BTCUSD=X
2018-10-18,6542.332031,6450.040039,6567.541016,6476.708984,6476.708984,0,BTCUSD=X
2018-10-19,6478.068848,6445.308594,6493.679199,6465.411621,6465.411621,0,BTCUSD=X
2018-10-22,6486.051758,6462.979492,6543.800293,6487.158691,6487.158691,0,BTCUSD=X
2018-10-23,6472.362305,6451.271973,6506.011719,6475.740723,6475.740723,0,BTCUSD=X
2018-10-24,6478.890625,6468.861816,6521.991211,6495.839355,6495.839355,0,BTCUSD=X
2018-10-25,6484.651367,6447.029297,6504.648926,6476.289551,6476.289551,0,BTCUSD=X
2018-10-26,6468.439453,6449.611816,6498.291504,6474.750977,6474.750977,0,BTCUSD=X
2018-10-29,6492.351563,6306.991211,6503.600098,6332.628906,6332.628906,0,BTCUSD=X
2018-10-30,6337.039551,6310.139648,6364.991211,6334.269531,6334.269531,0,BTCUSD=X
2018-10-31,6336.990723,6316.880371,6349.162109,6317.610352,6317.610352,0,BTCUSD=X
2018-11-01,6318.141113,6311.828613,6547.14209,6377.778809,6377.778809,0,BTCUSD=X
2018-11-02,6378.921875,6327.379883,6396.859863,6388.441895,6388.441895,0,BTCUSD=X
2018-11-05,6363.618652,6363.618652,6480.591797,6419.659668,6419.659668,0,BTCUSD=X
2018-11-06,6433.379883,6408.161621,6463.55127,6461.008301,6461.008301,0,BTCUSD=X
2018-11-07,6468.501953,6468.30957,6552.161133,6530.138672,6530.138672,0,BTCUSD=X
2018-11-08,6522.268066,6438.527832,6536.921875,6453.719727,6453.719727,0,BTCUSD=X
2018-11-09,6442.601563,6373.368652,6456.461426,6385.618164,6385.618164,0,BTCUSD=X
2018-11-12,6411.760742,6360.469238,6434.211426,6371.269043,6371.269043,0,BTCUSD=X
2018-11-13,6373.189453,6342.67041,6395.268555,6359.490234,6359.490234,0,BTCUSD=X
2018-11-14,6351.23877,5544.088379,6371.549316,5738.350586,5738.350586,0,BTCUSD=X
2018-11-15,5736.148438,5358.379395,5774.819336,5648.029297,5648.029297,0,BTCUSD=X
2018-11-16,5645.319336,5498.940918,5657.020508,5575.550293,5575.550293,0,BTCUSD=X
2018-11-19,5620.778809,4842.910645,5620.778809,4871.490234,4871.490234,0,BTCUSD=X
2018-11-20,4863.929199,4272.109375,4951.610352,4451.870117,4451.870117,0,BTCUSD=X
2018-11-21,4465.539551,4343.980469,4675.730957,4602.169922,4602.169922,0,BTCUSD=X
2018-11-22,4611.569824,4365.640137,4629.640137,4365.940918,4365.940918,0,BTCUSD=X
2018-11-23,4360.699707,4195.679688,4396.419922,4347.109863,4347.109863,0,BTCUSD=X
2018-11-26,4015.069336,3643.92041,4107.140625,3779.129395,3779.129395,0,BTCUSD=X
2018-11-27,3765.950684,3661.009521,3862.960693,3820.719482,3820.719482,0,BTCUSD=X
2018-11-28,3822.470703,3822.470703,4385.899414,4257.42041,4257.42041,0,BTCUSD=X
2018-11-29,4269.003418,4145.765137,4413.019531,4278.847168,4278.847168,0,BTCUSD=X
2018-11-30,4289.089844,3942.822998,4322.976563,4017.267578,4017.267578,0,BTCUSD=X
2018-12-03,4147.324707,3840.446289,4155.979004,3894.131348,3894.131348,0,BTCUSD=X
2018-12-04,3886.294678,3832.749756,4075.627197,3956.893799,3956.893799,0,BTCUSD=X
2018-12-05,3958.893799,3753.994629,3969.536377,3753.994629,3753.994629,0,BTCUSD=X
2018-12-06,3754.074951,3521.102051,3874.965576,3521.102051,3521.102051,0,BTCUSD=X
2018-12-07,3512.590088,3280.228516,3512.590088,3419.9375,3419.9375,0,BTCUSD=X
2018-12-10,3612.045898,3470.14502,3647.332031,3502.65625,3502.65625,0,BTCUSD=X
2018-12-11,3497.555176,3392.249756,3513.184814,3424.588379,3424.588379,0,BTCUSD=X
2018-12-12,3421.45874,3413.481689,3534.228271,3486.949951,3486.949951,0,BTCUSD=X
2018-12-13,3487.87915,3298.132324,3489.73999,3313.67749,3313.67749,0,BTCUSD=X
2018-12-14,3311.751709,3206.54248,3329.556641,3242.484375,3242.484375,0,BTCUSD=X
2018-12-17,3253.123291,3253.123291,3597.918213,3545.864014,3545.864014,0,BTCUSD=X
2018-12-18,3544.761963,3487.168701,3701.349854,3696.05957,3696.05957,0,BTCUSD=X
2018-12-19,3706.824463,3687.229736,3949.322021,3745.950928,3745.950928,0,BTCUSD=X
2018-12-20,3742.195801,3728.975098,4191.229004,4134.44043,4134.44043,0,BTCUSD=X
2018-12-21,4133.703613,3850.946777,4198.429688,3896.543701,3896.543701,0,BTCUSD=X
2018-12-24,4000.331299,4000.331299,4271.791992,4078.599609,4078.599609,0,BTCUSD=X
2018-12-25,4081.029541,3760.020264,4089.561523,3815.490479,3815.490479,0,BTCUSD=X
2018-12-26,3819.66748,3769.863525,3893.359375,3857.297119,3857.297119,0,BTCUSD=X
2018-12-27,3854.688965,3645.448242,3874.41626,3654.833252,3654.833252,0,BTCUSD=X
2018-12-28,3653.13208,3642.631592,3956.135986,3923.918213,3923.918213,0,BTCUSD=X
2018-12-31,3866.838623,3725.867188,3868.74292,3742.699707,3742.699707,0,BTCUSD=X
2019-01-01,3746.713135,3707.231201,3850.914063,3843.519531,3843.519531,0,BTCUSD=X
2019-01-02,3849.216797,3817.410156,3947.981201,3943.408936,3943.408936,0,BTCUSD=X
2019-01-03,3931.049316,3826.222168,3935.68457,3836.741943,3836.741943,0,BTCUSD=X
2019-01-04,3832.040039,3783.854248,3865.934082,3857.718018,3857.718018,0,BTCUSD=X
2019-01-07,4078.584717,4020.894043,4092.614014,4025.248047,4025.248047,0,BTCUSD=X
2019-01-08,4028.47168,3996.955811,4109.020508,4030.847168,4030.847168,0,BTCUSD=X
2019-01-09,4031.552734,4022.662109,4068.403076,4035.295898,4035.295898,0,BTCUSD=X
2019-01-10,4034.411865,3659.174316,4064.065918,3678.924072,3678.924072,0,BTCUSD=X
2019-01-11,3674.015137,3653.06958,3713.882568,3687.365967,3687.365967,0,BTCUSD=X
2019-01-14,3557.311279,3552.285645,3727.83667,3706.05249,3706.05249,0,BTCUSD=X
2019-01-15,3704.217041,3619.94873,3720.153809,3630.674561,3630.674561,0,BTCUSD=X
2019-01-16,3631.509277,3624.673584,3685.7771,3655.006592,3655.006592,0,BTCUSD=X
2019-01-17,3651.871338,3621.96167,3680.135742,3678.564209,3678.564209,0,BTCUSD=X
2019-01-18,3677.990479,3637.080322,3682.519531,3657.839844,3657.839844,0,BTCUSD=X
2019-01-21,3600.373047,3558.537598,3608.840576,3576.032715,3576.032715,0,BTCUSD=X
2019-01-22,3575.081787,3539.72168,3620.74707,3604.576416,3604.576416,0,BTCUSD=X
2019-01-23,3605.556396,3565.314209,3623.067627,3585.122559,3585.122559,0,BTCUSD=X
