Date,Close,Ticker
Oct-13-2017,1502.66,Russell 2000
Oct-16-2017,1502.68,Russell 2000
Oct-17-2017,1497.5,Russell 2000
Oct-18-2017,1505.14,Russell 2000
Oct-19-2017,1502.04,Russell 2000
Oct-20-2017,1509.25,Russell 2000
Oct-23-2017,1497.49,Russell 2000
Oct-24-2017,1500.42,Russell 2000
Oct-25-2017,1493.48,Russell 2000
Oct-26-2017,1497.46,Russell 2000
Oct-27-2017,1508.32,Russell 2000
Oct-30-2017,1490.9,Russell 2000
Oct-31-2017,1502.53,Russell 2000
Nov-01-2017,1492.78,Russell 2000
Nov-02-2017,1496.55,Russell 2000
Nov-03-2017,1494.91,Russell 2000
Nov-06-2017,1497.96,Russell 2000
Nov-07-2017,1479.09,Russell 2000
Nov-08-2017,1481.73,Russell 2000
Nov-09-2017,1475.02,Russell 2000
Nov-10-2017,1475.28,Russell 2000
Nov-13-2017,1475.07,Russell 2000
Nov-14-2017,1471.26,Russell 2000
Nov-15-2017,1464.1,Russell 2000
Nov-16-2017,1486.88,Russell 2000
Nov-17-2017,1492.82,Russell 2000
Nov-20-2017,1503.4,Russell 2000
Nov-21-2017,1518.89,Russell 2000
Nov-22-2017,1516.76,Russell 2000
Nov-24-2017,1519.16,Russell 2000
Nov-27-2017,1513.31,Russell 2000
Nov-28-2017,1536.43,Russell 2000
Nov-29-2017,1542.3,Russell 2000
Nov-30-2017,1544.14,Russell 2000
Dec-01-2017,1537.02,Russell 2000
Dec-04-2017,1532.41,Russell 2000
Dec-05-2017,1516.76,Russell 2000
Dec-06-2017,1508.88,Russell 2000
Dec-07-2017,1520.47,Russell 2000
Dec-08-2017,1521.73,Russell 2000
Dec-11-2017,1519.84,Russell 2000
Dec-12-2017,1516.12,Russell 2000
Dec-13-2017,1524.45,Russell 2000
Dec-14-2017,1506.95,Russell 2000
Dec-15-2017,1530.43,Russell 2000
Dec-18-2017,1548.93,Russell 2000
Dec-19-2017,1536.75,Russell 2000
Dec-20-2017,1540.08,Russell 2000
Dec-21-2017,1547.11,Russell 2000
Dec-22-2017,1542.93,Russell 2000
Dec-26-2017,1544.23,Russell 2000
Dec-27-2017,1543.94,Russell 2000
Dec-28-2017,1548.93,Russell 2000
Dec-29-2017,1535.51,Russell 2000
Jan-02-2018,1550.01,Russell 2000
Jan-03-2018,1552.58,Russell 2000
Jan-04-2018,1555.72,Russell 2000
Jan-05-2018,1560.01,Russell 2000
Jan-08-2018,1561.81,Russell 2000
Jan-09-2018,1560.1,Russell 2000
Jan-10-2018,1559.8,Russell 2000
Jan-11-2018,1586.79,Russell 2000
Jan-12-2018,1591.97,Russell 2000
Jan-16-2018,1572.97,Russell 2000
Jan-17-2018,1586.66,Russell 2000
Jan-18-2018,1576.73,Russell 2000
Jan-19-2018,1597.63,Russell 2000
Jan-22-2018,1605.17,Russell 2000
Jan-23-2018,1610.71,Russell 2000
Jan-24-2018,1599.61,Russell 2000
Jan-25-2018,1601.67,Russell 2000
Jan-26-2018,1608.06,Russell 2000
Jan-29-2018,1598.11,Russell 2000
Jan-30-2018,1582.82,Russell 2000
Jan-31-2018,1574.98,Russell 2000
